company_name,company_rating,remote,city,state,low_salary,high_salary,post_age_days
Northwestern Mutual,3.8,0,Milwaukee,WI,,,30+
Exact Metrology,4.8,0,Brookfield,WI,60.5,76.5,30+
Career finder,,2,Milwaukee,WI,,,30+
Northwestern Mutual,3.8,0,Milwaukee,WI,,,6
Waukesha County Technical College,4.4,0,Pewaukee,WI,,,30+
KPMG,3.9,0,Milwaukee,WI,73.1,92.5,15
A-LIGN External,,1,Milwaukee,WI,90.6,115,30+
In-Place Machining Co LLC,3.4,0,Brookfield,WI,59.7,75.7,30+
Johnson Controls,3.7,2,Milwaukee,WI,,,19
Deloitte,3.9,0,Milwaukee,WI,134,170,30+
Deloitte,3.9,0,Milwaukee,WI,100,127,30+
A-LIGN External,,1,Milwaukee,WI,83.8,106,30+
PRICE WATERHOUSE COOPERS,4.0,1,Milwaukee,WI,80.3,102,30+
Crisis Prevention Institute,4.0,2,Milwaukee,WI,102,129,30+
Northwestern Mutual,3.8,0,Milwaukee,WI,,,30+
VMware,4.1,1,Milwaukee,WI,97.4,123,30+
RSM US LLP,3.6,0,Milwaukee,WI,131,165,30+
Deloitte,3.9,0,Milwaukee,WI,142,180,30+
Deloitte,3.9,0,Milwaukee,WI,126,159,30+
KPMG,3.9,0,Milwaukee,WI,80.3,102,15
Oxford Lock,,2,Milwaukee,WI,,,1
Deloitte,3.9,0,Milwaukee,WI,164,208,8
Deloitte,3.9,0,Milwaukee,WI,141,179,30+
Advanced Hires,,2,Milwaukee,WI,,,14
EY,4.0,0,Milwaukee,WI,,,30+
"Arrow Electronics, Inc.",3.5,1,Brookfield,WI,,,30+
Sparks Group,4.0,0,Pewaukee,WI,88.3,112,9
Brooksource,3.7,0,,,,,30+
Crisis Prevention Institute,4.0,2,Milwaukee,WI,102,129,30+
Northwestern Mutual,3.8,0,Milwaukee,WI,,,30+
Deloitte,3.9,0,Milwaukee,WI,141,178,30+
EY,4.0,0,Milwaukee,WI,,,30+
RSM US LLP,3.6,0,Milwaukee,WI,131,165,30+
Deloitte,3.9,0,Milwaukee,WI,142,180,30+
Deloitte,3.9,0,Milwaukee,WI,126,159,30+
KPMG,3.9,0,Milwaukee,WI,80.3,102,15
Oxford Lock,,2,Milwaukee,WI,,,1
Deloitte,3.9,0,Milwaukee,WI,164,208,8
Deloitte,3.9,0,Milwaukee,WI,141,179,30+
Advanced Hires,,2,Milwaukee,WI,,,14
"Arrow Electronics, Inc.",3.5,1,Brookfield,WI,,,30+
Brooksource,3.7,0,,,,,30+
EY,4.0,0,Milwaukee,WI,,,30+
Deloitte,3.9,0,Milwaukee,WI,141,178,30+
EY,4.0,0,Milwaukee,WI,,,30+
RSM US LLP,3.6,0,Milwaukee,WI,131,165,30+
Deloitte,3.9,0,Milwaukee,WI,142,180,30+
Deloitte,3.9,0,Milwaukee,WI,126,159,30+
KPMG,3.9,0,Milwaukee,WI,80.3,102,15
Deloitte,3.9,0,Milwaukee,WI,164,208,8
Deloitte,3.9,0,Milwaukee,WI,141,179,30+
EY,4.0,0,Milwaukee,WI,,,30+
"Arrow Electronics, Inc.",3.5,1,Brookfield,WI,,,30+
Brooksource,3.7,0,,,,,30+
Charles River Laboratories,3.2,0,,,99.5,126,30+
iLocatum Recruiting,,0,,,,,15
First Solar,4.0,0,,,84.3,107,30+
"ENSCO, Inc.",4.1,0,,,93.2,118,23
